positionName,workYear,education,city,createTime,companyFullName,positionLables,salary,positionAdvantage
Python开发工程师,3-5年,本科,北京,2018-08-30 10:38:35,爱笔（北京）智能科技有限公司,"['后端', '服务器端', '客户端']",18k-36k,"初创公司,技术驱动"
Python开发工程师,3-5年,本科,北京,2018-08-30 10:15:44,链家网（北京）科技有限公司,[],25k-50k,"扁平管理,六险二金,免费三餐,弹性工作"
Python工程师,1-3年,本科,北京,2018-08-23 11:18:36,北京旷视科技有限公司,['后端'],20k-40k,"技术驱动,极客氛围,大牛团队"
python高级开发工程师（技术）,3-5年,本科,北京,2018-08-30 10:20:10,上海一起作业信息科技有限公司,"['教育', '后端', 'MySQL']",25k-50k,"独角兽,待遇好,工作环境好"
python研发工程师,1-3年,本科,杭州,2018-08-30 10:39:07,杭州美登科技股份有限公司,"['后端', 'C']",15k-30k,"弹性工作,技术大神带,午餐补助,年度旅游"
Python开发工程师,3-5年,本科,苏州,2018-08-30 09:57:52,苏州锦佰安信息技术有限公司,[],12k-20k,"人工智能,前景广阔,福利齐全,技术领先"
Python开发,应届毕业生,本科,上海,2018-08-30 10:05:27,上海彩亿信息技术有限公司,"['金融', '后端', '平台', '自动化']",6k-10k,"亿级平台,行业前三,极客团队,无限成长"
Python工程师,3-5年,本科,深圳,2018-08-30 11:21:42,深圳市拓然明科技有限公司,"['金融', '软件开发']",15k-30k,"量化交易,算法和数据,股票,期货交易"
Python 开发工程师,1-3年,本科,北京,2018-08-30 10:56:55,北京智者天下科技有限公司,"['信息安全', 'Java']",18k-36k,健康三餐 免费健身游泳 大牛团队
Python开发工程师,1-3年,大专,广州,2018-08-30 10:32:17,广东全彩科技有限公司,"['云计算', '大数据', '机器学习', '爬虫', '算法', '网络爬虫']",8k-13k,"六险一金,绩效奖金,年终奖金,双休"
Python工程师,应届毕业生,本科,苏州,2018-08-30 09:56:58,上海众言网络科技有限公司,"['Java', 'PHP', '全栈']",6k-12k,"福利多多,带薪年假,定期体检,五险一金"
python开发工程师,1-3年,大专,南京,2018-08-30 08:40:39,南京绿灯侠电子商务有限公司,[],4k-8k,"包食宿,年终奖,高福利,不加班"
高级python开发工程师,5-10年,本科,北京,2018-08-29 17:03:42,北京七彩焕腾科技有限公司,['后端'],25k-35k,bat
python开发工程师,3-5年,本科,西安,2018-08-30 09:14:30,北京神州绿盟信息安全科技股份有限公司,"['信息安全', 'Java']",8k-10k,五险一金；弹性工作；餐补；定期体检
Python开发工程师,5-10年,本科,上海,2018-08-30 10:45:30,上海基分文化传播有限公司,['后端'],20k-35k,发展
高级Python开发工程师,3-5年,本科,北京,2018-08-29 14:57:41,北京旷视科技有限公司,[],25k-50k,大牛多
Python开发工程师,3-5年,本科,北京,2018-08-30 09:57:52,苏州锦佰安信息技术有限公司,[],15k-30k,"人工智能,前景广阔,福利齐全,技术领先"
python开发工程师,3-5年,本科,北京,2018-08-29 13:21:02,北京七彩焕腾科技有限公司,"['移动互联网', '后端']",16k-22k,bat团队
python开发工程师,1-3年,本科,西安,2018-08-30 09:14:26,北京神州绿盟信息安全科技股份有限公司,['信息安全'],9k-15k,五险一金；弹性工作；餐补；定期体检
Python开发,3-5年,本科,上海,2018-08-30 10:00:17,上海众言网络科技有限公司,['Java'],15k-30k,"五险一金,季度旅游,生日会,带薪年假"
Python研发工程师,5-10年,本科,北京,2018-08-29 17:42:51,医渡云（北京）技术有限公司,[],25k-50k,"固定14薪,七险一金,免费三餐,租房补贴"
Python开发工程师,不限,不限,珠海,2018-08-28 14:04:37,北京金山软件有限公司,"['云计算', '软件开发']",13k-25k,"待遇好,平台大,平台好,待遇好"
python开发工程师,3-5年,本科,北京,2018-08-29 15:13:06,会找房（北京）网络技术有限公司,"['信息安全', 'MySQL', 'PHP']",15k-30k,"股票期权,弹性工作制,行业龙头,地铁周边"
Python 开发工程师,3-5年,不限,北京,2018-08-29 17:31:37,北京博派通达科技有限公司,"['软件开发', 'MySQL']",15k-30k,"地铁周边,年底双薪,晋升空间,多次调薪"
Python,3-5年,本科,宁波,2018-08-30 10:11:18,宁波新希望信息技术有限公司,[],10k-15k,出国机会，上升空间，踏实做事，靠谱
python开发工程师,3-5年,本科,深圳,2018-08-30 09:16:40,武汉佰钧成技术有限责任公司,['后端'],10k-15k,"朝九晚五,公司平台大,发展机遇多,六险一金"
Python工程师,不限,本科,深圳,2018-08-30 09:18:13,深圳市有芯电子有限公司,"['电商', 'ERP']",15k-25k,"学习型团队,电商项目,待遇优厚"
python研发工程师,3-5年,本科,武汉,2018-08-30 09:17:38,北京好巧国际旅行社有限公司,"['大数据', '后端', 'Java', 'MySQL']",8k-15k,"六险一金,弹性不打卡,高成长团队"
Python开发,1-3年,本科,武汉,2018-08-29 11:20:15,湖北百旺金赋科技有限公司,"['云计算', 'PHP', 'Shell', '云计算']",6k-10k,"双休,五险一金,14薪,免费班车"
Python开发工程师,3-5年,本科,北京,2018-08-30 10:17:58,杉数科技（北京）有限公司,"['Java', 'MySQL']",18k-22k,"超优质团队,大牛带领,福利多多,发展前景"
Python 高级开发工程师,3-5年,本科,北京,2018-08-23 11:18:36,北京旷视科技有限公司,"['Java', 'MySQL', 'PHP']",20k-40k,"人工智能,黑科技,大牛多"
Python开发师,3-5年,本科,上海,2018-08-30 10:00:18,上海众言网络科技有限公司,['Java'],15k-30k,"五险一金,季度旅游,节日福利,带薪年假"
python软件开发工程师,不限,本科,武汉,2018-08-29 10:43:29,武汉佰钧成技术有限责任公司,"['云计算', 'Linux']",6k-12k,产品研发
Python研发工程师,3-5年,大专,北京,2018-08-30 09:17:38,北京好巧国际旅行社有限公司,"['Golang', 'Java']",18k-25k,"弹性工作,百万医疗,10天年假,高速增长"
Python中级开发工程师,5-10年,大专,北京,2018-08-29 18:00:32,乐飞天下信息技术(北京)有限公司,"['大数据', 'MySQL', '数据挖掘']",17k-34k,"福利好,带薪假,员工旅游,调薪调岗"
Python开发工程师,1-3年,本科,西安,2018-08-28 13:54:31,维视科技（西安）有限公司,"['Java', 'MySQL', 'PHP']",6k-12k,"硅谷资源,精英团队,深度学习,人工智能"
Python开发工程师,1年以下,大专,广州,2018-08-30 09:24:45,广州玖维信息科技有限公司,['测试'],6k-10k,"周末双休,五险一金,节日福利,房补餐补"
初级Python开发工程师,3-5年,本科,北京,2018-08-30 08:41:59,北京汇游科技有限公司,[],10k-15k,"五险一金,全勤奖,餐补,年终奖金"
Python开发工程师,3-5年,本科,北京,2018-08-30 11:13:59,车好多旧机动车经纪(北京)有限公司,"['Java', 'PHP']",20k-40k,最高19薪 独角兽公司 学习型团队
Python开发工程师,3-5年,本科,北京,2018-08-30 09:30:05,上海淇毓信息科技有限公司,['Java'],20k-30k,"团队业绩突,成长空间大,稳定性高"
python开发工程师,3-5年,本科,上海,2018-08-29 09:14:34,智慧芽信息科技（苏州）有限公司,[],15k-30k,"不打卡,晋升快"
Python开发工程师,1-3年,本科,上海,2018-08-30 11:30:38,上海道客网络科技有限公司,"['云计算', '后端', 'docker']",10k-20k,"大牛环绕,弹性工作,福利优惠"
Python,3-5年,本科,郑州,2018-08-30 08:24:59,大河网络传媒有限公司,[],5k-10k,五险 双休
Python工程师,3-5年,大专,北京,2018-08-30 09:45:52,北京点石经纬科技有限公司,[],15k-30k,"机会多多,K12,平台好"
高级Python开发工程师,1-3年,大专,郑州,2018-08-30 10:14:49,郑州创恒实业有限公司,"['云计算', 'MySQL', '云计算', '爬虫']",7k-10k,高级
Python开发工程师,1-3年,本科,广州,2018-08-29 10:23:39,武汉佰钧成技术有限责任公司,[],11k-18k,"大平台,加班少,成长快,学院派"
Python中级开发工程师,3-5年,本科,上海,2018-08-30 10:00:16,上海众言网络科技有限公司,['Java'],15k-30k,"股票期权,弹性工作,五险一金,下午茶"
Python,3-5年,本科,成都,2018-08-29 14:39:01,梦思特科技（成都）有限公司,[],10k-15k,不加班，工作氛围良好，弹性上下班
Python研发工程师,5-10年,本科,北京,2018-08-29 10:37:22,京东金融,"['大数据', '数据挖掘', '算法', '机器学习']",25k-50k,餐补+年终奖+良好的晋升空间
Python开发工程师,3-5年,本科,北京,2018-08-28 11:01:42,轻易科技有限公司,"['Java', 'PHP']",15k-28k,"弹性工作制,扁平化管理,绩效奖金,美国上市"
python工程师,3-5年,本科,苏州,2018-08-28 10:13:45,苏州梦嘉信息技术有限公司,"['大数据', 'Hadoop', '数据挖掘']",10k-18k,"项目奖金,年终奖金,团建福利,生日惊喜"
